instrument,anomaly_type,count
X_25123_23550_CE,Gamma spike,275
X_25123_23550_CE,IV spike,115
X_25123_23550_PE,Price jump,1020
X_25123_23550_PE,Spread widening,517
X_25123_23550_PE,IV spike,285
X_25123_23550_PE,Gamma spike,175
X_25123_23550_PE,Mispricing,158
X_25123_23600_CE,Price jump,1029
X_25123_23600_CE,Spread widening,501
X_25123_23600_CE,Mispricing,342
X_25123_23600_CE,Gamma spike,265
X_25123_23600_CE,IV spike,106
X_25123_23600_PE,Price jump,1058
X_25123_23600_PE,Spread widening,552
X_25123_23600_PE,IV spike,246
X_25123_23600_PE,Gamma spike,176
X_25123_23600_PE,Mispricing,170
X_25123_23650_CE,Price jump,1022
X_25123_23650_CE,Spread widening,545
X_25123_23650_CE,Mispricing,338
X_25123_23650_CE,Gamma spike,287
X_25123_23650_CE,IV spike,153
X_25123_23650_PE,Price jump,973
X_25123_23650_PE,Spread widening,518
X_25123_23650_PE,IV spike,296
X_25123_23650_PE,Gamma spike,206
X_25123_23650_PE,Mispricing,152
X_25123_23700_CE,Price jump,993
X_25123_23700_CE,Spread widening,505
X_25123_23700_CE,Mispricing,329
X_25123_23700_CE,Gamma spike,311
X_25123_23700_CE,IV spike,111
X_25123_23700_PE,Price jump,920
X_25123_23700_PE,Spread widening,460
X_25123_23700_PE,IV spike,282
X_25123_23700_PE,Gamma spike,190
X_25123_23700_PE,Mispricing,142
X_25123_23750_CE,Price jump,962
X_25123_23750_CE,Spread widening,469
X_25123_23750_CE,Mispricing,361
X_25123_23750_CE,Gamma spike,299
X_25123_23750_CE,IV spike,124
X_25123_23750_PE,Price jump,964
X_25123_23750_PE,Spread widening,556
X_25123_23750_PE,IV spike,247
X_25123_23750_PE,Gamma spike,228
X_25123_23750_PE,Mispricing,190
X_25123_23800_CE,Price jump,1071
X_25123_23800_CE,Spread widening,594
X_25123_23800_CE,Mispricing,415
X_25123_23800_CE,Gamma spike,308
X_25123_23800_CE,IV spike,133
X_25123_23800_PE,Price jump,910
X_25123_23800_PE,Spread widening,537
X_25123_23800_PE,IV spike,275
X_25123_23800_PE,Gamma spike,270
X_25123_23800_PE,Mispricing,161
X_25123_23850_CE,Price jump,1074
X_25123_23850_CE,Spread widening,564
X_25123_23850_CE,Mispricing,382
X_25123_23850_CE,Gamma spike,303
X_25123_23850_CE,IV spike,140
X_25123_23850_PE,Price jump,915
X_25123_23850_PE,Spread widening,467
X_25123_23850_PE,IV spike,263
X_25123_23850_PE,Gamma spike,246
X_25123_23850_PE,Mispricing,210
X_25123_23900_CE,Price jump,950
X_25123_23900_CE,Spread widening,528
X_25123_23900_CE,Mispricing,365
X_25123_23900_CE,Gamma spike,309
X_25123_23900_CE,IV spike,161
X_25123_23900_PE,Price jump,750
X_25123_23900_PE,Spread widening,439
X_25123_23900_PE,IV spike,312
X_25123_23900_PE,Gamma spike,276
X_25123_23900_PE,Mispricing,207
X_25123_23950_CE,Price jump,983
X_25123_23950_CE,Spread widening,581
X_25123_23950_CE,Mispricing,352
X_25123_23950_CE,Gamma spike,300
X_25123_23950_CE,IV spike,132
X_25123_23950_PE,Price jump,928
X_25123_23950_PE,Spread widening,519
X_25123_23950_PE,Mispricing,299
X_25123_23950_PE,Gamma spike,280
X_25123_23950_PE,IV spike,264
X_25123_24000_CE,Price jump,1019
X_25123_24000_CE,Spread widening,545
X_25123_24000_CE,Mispricing,406
X_25123_24000_CE,Gamma spike,304
X_25123_24000_CE,IV spike,143
X_25123_24000_PE,Price jump,976
X_25123_24000_PE,Spread widening,541
X_25123_24000_PE,Gamma spike,293
X_25123_24000_PE,IV spike,239
X_25123_24000_PE,Mispricing,176
X_25123_24050_CE,Price jump,985
X_25123_24050_CE,Spread widening,578
X_25123_24050_CE,Mispricing,415
X_25123_24050_CE,Gamma spike,307
X_25123_24050_CE,IV spike,112
X_25123_24050_PE,Price jump,879
X_25123_24050_PE,Spread widening,471
X_25123_24050_PE,Mispricing,294
X_25123_24050_PE,Gamma spike,262
X_25123_24050_PE,IV spike,237
X_25123_24100_CE,Price jump,1039
X_25123_24100_CE,Spread widening,562
X_25123_24100_CE,Mispricing,395
X_25123_24100_CE,Gamma spike,319
X_25123_24100_CE,IV spike,139
X_25123_24100_PE,Price jump,1039
X_25123_24100_PE,Spread widening,551
X_25123_24100_PE,Gamma spike,292
X_25123_24100_PE,IV spike,249
X_25123_24100_PE,Mispricing,186
X_25123_24150_CE,Price jump,932
X_25123_24150_CE,Spread widening,547
X_25123_24150_CE,Mispricing,373
X_25123_24150_CE,Gamma spike,301
X_25123_24150_CE,IV spike,121
X_25123_24150_PE,Price jump,795
X_25123_24150_PE,Spread widening,404
X_25123_24150_PE,Mispricing,357
X_25123_24150_PE,Gamma spike,284
X_25123_24150_PE,IV spike,235
X_25123_24200_CE,Price jump,998
X_25123_24200_CE,Spread widening,498
X_25123_24200_CE,Mispricing,352
X_25123_24200_CE,Gamma spike,304
X_25123_24200_CE,IV spike,154
X_25123_24200_PE,Price jump,879
X_25123_24200_PE,Spread widening,485
X_25123_24200_PE,Mispricing,260
X_25123_24200_PE,Gamma spike,241
X_25123_24200_PE,IV spike,241
X_25123_24250_CE,Price jump,870
X_25123_24250_CE,Spread widening,484
X_25123_24250_CE,Mispricing,446
X_25123_24250_CE,Gamma spike,298
X_25123_24250_CE,IV spike,163
X_25123_24250_PE,Price jump,851
X_25123_24250_PE,Spread widening,472
X_25123_24250_PE,Mispricing,271
X_25123_24250_PE,Gamma spike,268
X_25123_24250_PE,IV spike,260
X_25123_24300_CE,Price jump,740
X_25123_24300_CE,Mispricing,414
X_25123_24300_CE,Spread widening,387
X_25123_24300_CE,Gamma spike,291
X_25123_24300_CE,IV spike,154
X_25123_24300_PE,Price jump,795
X_25123_24300_PE,Spread widening,440
X_25123_24300_PE,Mispricing,344
X_25123_24300_PE,IV spike,230
X_25123_24300_PE,Gamma spike,228
X_25123_24350_CE,Price jump,885
X_25123_24350_CE,Spread widening,470
X_25123_24350_CE,Mispricing,367
X_25123_24350_CE,Gamma spike,300
X_25123_24350_CE,IV spike,147
X_25123_24350_PE,Price jump,497
X_25123_24350_PE,Gamma spike,476
X_25123_24350_PE,IV spike,290
X_25123_24350_PE,Mispricing,275
X_25123_24350_PE,Spread widening,239
X_25123_24400_CE,Price jump,561
X_25123_24400_CE,Mispricing,394
X_25123_24400_CE,Gamma spike,292
